icao,raw_metar,observation_time,visibility_m,wind_speed_kt,wind_direction_deg,temperature_c,dewpoint_c,pressure_hpa,conditions,cloud_coverage,delay_risk_score,operational_impact,crosswind_component_kt,weather_complexity_index,visibility_category,wind_category,temperature_category,hour_of_day,day_of_week,month,seasonal_factor,peak_traffic_indicator,icing_risk,airport_icao,timestamp,taf_forecast,visibility_normalized,wind_speed_normalized,temperature_normalized,pressure_normalized,visibility_category_excellent,wind_category_calm,wind_category_light,temperature_category_hot,temperature_category_warm,operational_impact_minimal
EGLL,EGLL 211050Z AUTO 17009KT 120V200 9999 NCD 30/14 Q1018,2025-06-21T10:50:00Z,16091790,9,170,30,14,34473,[],CLR,0,minimal,8.863269777109872,0,excellent,light,hot,11,5,6,0.3,0,0,EGLL,2025-06-21T11:23:40.429437,"{'raw_taf': 'TAF EGLL 211055Z 2112/2218 16010KT 9999 FEW040 PROB30 TEMPO 2112/2114 17015G25KT 4000 +TSRA PROB30 TEMPO 2114/2119 7000 SHRA PROB30 TEMPO 2119/2202 19015G25KT 4000 +TSRA BECMG 2121/2124 22006KT PROB30 TEMPO 2211/2218 26016G26KT', 'valid_from': 1750507200, 'valid_to': 1750615200, 'forecast_periods': []}",1609.179,0.18,0.875,335.23,True,False,True,True,False,True
EGKK,EGKK 211050Z 14009KT 110V170 CAVOK 29/14 Q1018,2025-06-21T10:50:00Z,16091790,9,140,29,14,34473,[],CLR,0,minimal,6.894399988070802,0,excellent,light,hot,11,5,6,0.3,0,0,EGKK,2025-06-21T11:23:40.596211,"{'raw_taf': 'TAF EGKK 211056Z 2112/2218 17006KT 9999 FEW045 PROB30 TEMPO 2112/2114 VRB15G25KT 3000 +SHRA +TSGS PROB30 TEMPO 2114/2119 6000 SHRA PROB30 TEMPO 2119/2202 VRB15G25KT 4000 +TSRAGS BECMG 2200/2203 26010KT PROB30 TEMPO 2212/2218 24015G25KT', 'valid_from': 1750507200, 'valid_to': 1750615200, 'forecast_periods': []}",1609.179,0.18,0.8625,335.23,True,False,True,True,False,True
KJFK,KJFK 211051Z 24004KT 10SM BKN130 BKN250 23/19 A3011 RMK AO2 SLP196 T02330189 $,2025-06-21T10:51:00Z,16093,4,240,23,19,1019,[],Broken,0,minimal,1.9999999999999998,0,excellent,calm,warm,11,5,6,0.3,0,0,KJFK,2025-06-21T11:23:40.708357,"{'raw_taf': 'KJFK 210855Z 2109/2212 26006KT P6SM BKN150 FM211200 28007KT P6SM BKN120 FM211400 22007KT P6SM SCT150 FM211600 19010KT P6SM FEW060 SCT120 FM212000 19014KT P6SM FEW060 SCT120 FM220100 20008KT P6SM FEW060 SCT250', 'valid_from': 1750496400, 'valid_to': 1750593600, 'forecast_periods': []}",1.6093,0.08,0.7875,0.69,True,True,False,False,True,True
KLAX,KLAX 211053Z 11006KT 10SM FEW019 OVC029 18/13 A2983 RMK AO2 SLP099 T01830133,2025-06-21T10:53:00Z,16093,6,110,18,13,1010,[],Overcast,0,minimal,2.0521208599540133,0,excellent,light,warm,11,5,6,0.3,0,0,KLAX,2025-06-21T11:23:40.832116,"{'raw_taf': 'KLAX 210837Z 2109/2212 12005KT P6SM OVC025 FM211200 12008KT P6SM OVC030 FM211600 14006KT P6SM BKN035 FM211800 22006KT P6SM SCT030 FM212000 26012KT P6SM SKC FM220400 VRB03KT P6SM SKC', 'valid_from': 1750496400, 'valid_to': 1750593600, 'forecast_periods': []}",1.6093,0.12,0.725,0.6,True,False,True,False,True,True
EDDF,EDDF 211050Z AUTO 11005KT 020V190 CAVOK 28/08 Q1022 NOSIG,2025-06-21T10:50:00Z,16091790,5,110,28,8,34608,[],CLR,0,minimal,1.7101007166283444,0,excellent,calm,hot,11,5,6,0.3,0,0,EDDF,2025-06-21T11:23:40.924632,"{'raw_taf': 'TAF EDDF 210500Z 2106/2212 02008KT CAVOK BECMG 2108/2111 08006KT', 'valid_from': 1750485600, 'valid_to': 1750593600, 'forecast_periods': []}",1609.179,0.1,0.85,336.58,True,True,False,True,False,True
LFPG,LFPG 211100Z AUTO 12005KT 050V170 CAVOK 30/11 Q1019 NOSIG,2025-06-21T11:00:00Z,16091790,5,120,30,11,34507,[],CLR,0,minimal,2.4999999999999996,0,excellent,calm,hot,11,5,6,0.3,0,0,LFPG,2025-06-21T11:23:43.022980,"{'raw_taf': 'TAF LFPG 211100Z 2112/2218 10008KT CAVOK TX35/2115Z TN22/2206Z BECMG 2206/2208 27010KT', 'valid_from': 1750507200, 'valid_to': 1750615200, 'forecast_periods': []}",1609.179,0.1,0.875,335.57,True,True,False,True,False,True
